Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,harvested_day,treatment,dose,genotype,molecule_subtype,chip_antibody,in-situ_treatment
SRR13764563,ATAC-seq,150,33470884500,PRJNA704194,SAMN18027883,13346546479,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151060,GSM5100364,NextSeq 550,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T17:05:00Z,1,GSM5100364,iNeuron,SRP307780,day7,,,,,,
SRR13764806,ChIP-Seq,75,4141905525,PRJNA704021,SAMN18027999,1552323831,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151289,GSM5100365,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:22:00Z,1,GSM5100365,iNeuron,SRP307546,day7,NT,,,,"5 ug\, Abcam #8895",
SRR13764807,ChIP-Seq,75,2211353025,PRJNA704021,SAMN18027998,813060188,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151290,GSM5100366,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:10:00Z,1,GSM5100366,iNeuron,SRP307546,day7,NT,,,,"5 ug\, Abcam #4729",
SRR13764808,ChIP-Seq,75,4410519825,PRJNA704021,SAMN18027997,1646525850,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151291,GSM5100367,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:18:00Z,1,GSM5100367,iNeuron,SRP307546,day7,NT,,,,MLL4 homemade ab courtesy of Kai Ge Lab,
SRR13764809,ChIP-Seq,75,3342455400,PRJNA704021,SAMN18027996,1289204434,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151292,GSM5100368,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:14:00Z,1,GSM5100368,iNeuron,SRP307546,day7,NT,,,,"6 ul\, Millipore\, Cat. No. 07-729",
SRR13764810,ChIP-Seq,75,3726309075,PRJNA704021,SAMN18027994,1566982532,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151293,GSM5100369,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:18:00Z,1,GSM5100369,iNeuron,SRP307546,day7,NT,,,,"6 uL\, Abcam #8580",
SRR13764811,ChIP-Seq,75,2638533150,PRJNA704021,SAMN18027993,1034205454,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151294,GSM5100370,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:13:00Z,1,GSM5100370,iNeuron,SRP307546,day7,NT,,,,"5 ug\, Abcam #9050",
SRR13764812,ChIP-Seq,75,2730472050,PRJNA704021,SAMN18027992,1066488882,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151295,GSM5100371,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:12:00Z,1,GSM5100371,iNeuron,SRP307546,day7,NT,,,,"5 ug\, Millipore\, Cat. No. 07-449",
SRR13764813,ChIP-Seq,75,2584861050,PRJNA704021,SAMN18027991,1001068077,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151296,GSM5100372,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:12:00Z,1,GSM5100372,iNeuron,SRP307546,day7,NT,,,,"10 ug\, Active Motif\, Cat. No. 39765",
SRR13764814,ChIP-Seq,75,4518860475,PRJNA704021,SAMN18027990,1765675961,neuron differentiated from iPSC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10151297,GSM5100373,NextSeq 550,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2021-03-25T00:00:00Z,2021-02-22T16:19:00Z,1,GSM5100373,iNeuron,SRP307546,day7,10 uM PARG inhibitor; 20 minutes prior to harvest,,,,"5 ug\, Millipore-Sigma MABE1016",
